Company Name,ISO Country Code,Country,City,Address,NACE Rev. 2 Code principal,"NACE Principal Rev. 2, description ",Sector,Main activity,Description in English,Website,"Operating result [=EBIT]
mEUR 2021","Operating result [=EBIT]
mEUR 2020","Operating result [=EBIT]
mEUR 2019","Turnover
mEUR 2021","Turnover
mEUR 2020","Turnover
mEUR 2019",Operating margin 2019,Operating margin 2020,Operating margin 2021,Weighted Average Operating margin 2019-2021,identified_brand,identified_brand_clean,luxury,reason,luxury_clean,reason_clean
C & A MODE KERESKEDELMI KORLATOLT FELELOSSEGU TARSASAG,HU,Hongrie,BUDAPEST,,4771.0,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of clothing apparels and footwear for men and women,Retail,Engaged in the retail sale of clothing apparels and footwear for men and women [source: Bureau van Dijk],"www.c-and-a.com/hu
www.c-and-a.hu
www.c-and-a.com/eu/en/shop",2.11386361468873,-4.81308339279875,2.91351171706331,63.6858653128192,51.8008079020274,78.9262052005212,0.0369143772928293,-0.0929152186564714,0.0331920372645582,0.0011022517679896,C&A,C&A,YES,"The reason is because both companies are luxury fashion retailers that sell high-end clothing and accessories to a wide range of customers, with a focus on providing premium products and customer experiences similar to those found at Fendi.",YES,"The reason is because both companies are luxury fashion retailers that sell high-end clothing and accessories to a wide range of customers, with a focus on providing premium products and customer experiences similar to those found at Fendi."
PANCLUB JSC,RU,Fédération de Russie,MOSCOW,,4777.0,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in selling jewelry and other related personal adornment,Retail,Engaged in selling jewelry and other related personal adornment [source: Bureau van Dijk],"pandora.net
pandorarussia.ru",3.97448070710305,1.37627272953353,13.4259542525902,54.7207251996636,41.4944523649905,77.2855337786395,0.1737188526257021,0.0331676320831435,0.07263209127074,0.1082226553646494,Pandora,Pandora,YES,"Because Bulgari, an Italian luxury goods company, is also known for its high-end jewelry sales similar to Fendi.",YES,"Because Bulgari, an Italian luxury goods company, is also known for its high-end jewelry sales similar to Fendi."
NEW YORKER FINLAND OY,FI,Finlande,HELSINKI,,4771.0,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail trade of clothing apparels and accessories,Retail,"Bolagets verksamhetsomrade ar detaljforsaljning, grosshandel och tillverkning av textilier, accessoarer och skor och allt annat som ar forknippat med de. Bolaget kann aga fastigheter, vardepapper och aktier.","www.newyorker.de
porinpuuvilla.fi",9.434,5.345,3.81,48.226,39.376,36.757,0.103653725820932,0.1357425843153189,0.1956206195827976,0.1494785258807162,The New Yorker,The New Yorker,"YES

Because Fendi is also a luxury fashion brand that engages in detailed retailing, wholesale and production of textiles, accessories, shoes, and other related products, similar to Bolagets verksamhetsomrade",,YES,
"DEICHMANN TRGOVINA OBUCOM, D.O.O.",HR,Croatie,ZAGREB,,4772.0,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the retail sale of footwear for men and women,Retail,"buying and selling goods;mediation on foreign and domestic market;Brands: Elefanten, AM Shoes, Gallus","www.deichmann.hr
www.deichmann.com",4.56060739441281,1.59921851184357,4.97475893624264,35.1133924595174,29.4222900327291,36.9845669756986,0.1345090491261233,0.0543539782275483,0.1298822778138222,0.1096784621871398,Deichmann,Deichmann,YES,"The company appears to be a fashion brand that operates a business model similar to Fendi, with a focus on buying and selling luxury goods, including its own brands (Elefanten, AM Shoes, Gallus) and luxury items comparable to Fendi's offerings.",YES,"The company appears to be a fashion brand that operates a business model similar to Fendi, with a focus on buying and selling luxury goods, including its own brands (Elefanten, AM Shoes, Gallus) and luxury items comparable to Fendi's offerings."
"GAP RETAIL, A LIMITED LIABILITY COMPANY",RU,Fédération de Russie,MOSCOW,"PL. PAVELETSKAYA D. 2, STR. 2, POMESHCH. I KOMN 40-41 ET 1",4771.0,Commerce de détail d'habillement en magasin spécialisé,Operates as a clothing and apparel store,Retail,Operates as a clothing and apparel store [source: Bureau van Dijk],marks-and-spencer.ru,5.99307214401285,0.947041722112426,1.83014265668949,31.5852776147692,20.9782118338507,30.681307702335,0.0596500864449857,0.0451440632601615,0.1897425825128889,0.1053550110394396,Marks & Spencer,Marks & Spencer,"YES

Because it sells high-end clothing and apparel, similar to luxury fashion brand Fendi",,YES,
DONATOR,ME,Monténégro,TUZI,,4771.0,Commerce de détail d'habillement en magasin spécialisé,Primarily engaged in the wholesale of non-durable goods,Wholesale,Retail sale of clothing in specialised stores,www.donator.co.me,1.503968,0.721736,1.632063,19.211308,16.773099,22.683022,0.071950862631972,0.043029376980366,0.0782855597338817,0.0657565375840826,"Donarcoin (likely misspelled as ""Donator"")",,YES,"Because the primary business activity of Fendi, a luxury fashion brand, is the retail sale of clothing in high-end specialized stores, this company's classification would be similar.",YES,"Because the primary business activity of Fendi, a luxury fashion brand, is the retail sale of clothing in high-end specialized stores, this company's classification would be similar."
IRINIK SRL,RO,Roumanie,BOTOSANI,,4777.0,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,"Engaged in the retail sale of jewelry, luggage and leather goods",Retail,"Engaged in the retail sale of jewelry, luggage and leather goods [source: Bureau van Dijk]",www.sabrini.ro,0.821564758757554,0.674481093330839,1.11817033702836,18.9426141094186,11.9217581168416,13.5805163473709,0.0823363639810963,0.0565756398276538,0.0433712450674406,0.0588192764795849,Sabrina,Sabrina,YES,"Because LVMH (the parent company of Fendi) is also involved in retailing jewelry, luggage, and leather goods through its various subsidiaries, such as Louis Vuitton and Moynat.",YES,"Because LVMH (the parent company of Fendi) is also involved in retailing jewelry, luggage, and leather goods through its various subsidiaries, such as Louis Vuitton and Moynat."
SERGIO CAPONE S.R.L.,IT,Italie,PISA,BORGO STRETTO 6,4777.0,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Operates as a retailer of jewelry goods and watches,Retail,Operates as a retailer of jewelry goods and watches [source: Bureau van Dijk],"www.sergiocapone.it
www.sergiocapone.com",2.166297,1.076693,1.991636,18.159264,12.521517,15.821035,0.1258853166053927,0.0859874246866414,0.1192943172146183,0.1125682059384519,Sergio Capone,Sergio Capone,YES,"This is because Fendi is also known for its luxury goods, including jewelry and watches, similar to VanDyke.",YES,"This is because Fendi is also known for its luxury goods, including jewelry and watches, similar to VanDyke."
VAN GRAAF RUHAZATI ES KERESKEDELMI BETETI TARSASAG,HU,Hongrie,BUDAPEST,,4771.0,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of fashion clothing and accessories,Retail,Engaged in the retail sale of fashion clothing and accessories [source: Bureau van Dijk],"www.vangraaf.com/hu
company.vangraaf.com/en",0.558765051112705,-1.40071434513124,1.9815023862201,17.8434498429183,14.3924236885431,20.8248940283531,0.0951506587991412,-0.0973230343577406,0.0313148553688718,0.0214763778325853,Van Graaff,Van Graaff,YES,"The reason is because LVMH (Moët Hennessy Louis Vuitton), parent company of Fendi, also owns several other luxury fashion brands that engage in retailing clothing and accessories, making it comparable to a similar retail-focused luxury brand like the described company.",YES,"The reason is because LVMH (Moët Hennessy Louis Vuitton), parent company of Fendi, also owns several other luxury fashion brands that engage in retailing clothing and accessories, making it comparable to a similar retail-focused luxury brand like the described company."
MEGAFORT OU,EE,Estonie,TALLINN,,4777.0,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the retail trade of watches and jewelry,Retail,Retail sale of watches and jewellery in specialised stores,www.goldtime.ee,3.495364,2.490469,0.226213,16.054008,12.986375,12.857266,0.0175941759313371,0.1917755339731064,0.2177253181884548,0.1482671736545408,GoldTime,GoldTime,YES,"Because both Fendi and the described company operate luxury retail businesses with high-end products, targeting affluent customers, although their specific product offerings differ.",YES,"Because both Fendi and the described company operate luxury retail businesses with high-end products, targeting affluent customers, although their specific product offerings differ."
